date,time,latitude,longitude
2019-7-11,9:43:26,48.172554,11.75498
2019-7-11,9:43:27,48.172554,11.75498
2019-7-11,9:43:28,48.172554,11.75498
2019-7-11,9:43:29,48.172554,11.75498
2019-7-11,9:43:30,48.172575,11.754984
2019-7-11,9:43:31,48.172619,11.754994
2019-7-11,9:43:32,48.172682,11.755007
2019-7-11,9:43:33,48.172761,11.755008
2019-7-11,9:43:34,48.172854,11.755
2019-7-11,9:43:35,48.172967,11.755023
2019-7-11,9:43:36,48.173074,11.755042
2019-7-11,9:43:37,48.173186,11.755061
2019-7-11,9:43:38,48.173297,11.755086
2019-7-11,9:43:39,48.173411,11.755112
2019-7-11,9:43:40,48.173524,11.755138
2019-7-11,9:43:41,48.173639,11.755164
2019-7-11,9:43:42,48.173746,11.755189
2019-7-11,9:43:43,48.173856,11.755215
2019-7-11,9:43:44,48.17397,11.75524
2019-7-11,9:43:45,48.174082,11.755264
2019-7-11,9:43:46,48.174198,11.755289
2019-7-11,9:43:47,48.174308,11.755313
2019-7-11,9:43:48,48.174398,11.755333
2019-7-11,9:43:49,48.174468,11.755348
2019-7-11,9:43:50,48.174509,11.755358
2019-7-11,9:43:51,48.17457,11.755373
2019-7-11,9:43:52,48.174633,11.755392
2019-7-11,9:43:53,48.174699,11.755413
2019-7-11,9:43:54,48.174768,11.755434
2019-7-11,9:43:55,48.174826,11.755452
2019-7-11,9:43:56,48.174892,11.755472
2019-7-11,9:43:57,48.174954,11.75549
2019-7-11,9:43:58,48.175017,11.755509
2019-7-11,9:43:59,48.175077,11.755527
2019-7-11,9:44:0,48.175143,11.755547
2019-7-11,9:41:10,48.176389,11.762764
2019-7-11,9:41:11,48.176399,11.762794
2019-7-11,9:41:12,48.176415,11.762845
2019-7-11,9:41:13,48.176438,11.762918
2019-7-11,9:41:14,48.176467,11.763011
2019-7-11,9:41:15,48.176506,11.763132
2019-7-11,9:41:16,48.176551,11.76327
2019-7-11,9:41:17,48.176602,11.763426
2019-7-11,9:41:18,48.17665,11.763576
2019-7-11,9:41:19,48.176697,11.763735
2019-7-11,9:41:20,48.176732,11.763855
2019-7-11,9:41:21,48.176757,11.763941
2019-7-11,9:41:22,48.176775,11.764014
2019-7-11,9:41:23,48.176758,11.76408
2019-7-11,9:41:24,48.176707,11.764115
2019-7-11,9:41:25,48.176644,11.764153
2019-7-11,9:41:26,48.176566,11.764199
2019-7-11,9:41:27,48.176472,11.764255
2019-7-11,9:41:28,48.176363,11.76432
2019-7-11,9:41:29,48.176232,11.764397
2019-7-11,9:41:30,48.176088,11.764479
2019-7-11,9:41:31,48.175949,11.764559
2019-7-11,9:41:32,48.175847,11.764618
2019-7-11,9:41:33,48.175779,11.764656
2019-7-11,9:41:34,48.175746,11.764676
2019-7-11,9:41:35,48.175744,11.764677
2019-7-11,9:41:36,48.175744,11.764677
2019-7-11,9:41:37,48.175744,11.764677
2019-7-11,9:41:38,48.175744,11.764677
2019-7-11,9:41:39,48.175744,11.764677
2019-7-11,9:41:40,48.175744,11.764677
2019-7-11,9:41:41,48.175744,11.764677
